***********************************************************
*    Row   * Instance *   EventId * cpS1sTotB * cpS2sTotB *
*    61402 *        0 *     61402 * 10.639026 * 873.36895 *
*    61462 *        0 *     61462 * 22.111411 * 1552.1748 *
*    62281 *        0 *     62281 * 8.0744282 * 656.38394 *
*    62551 *        0 *     62551 * 9.6260735 * 881.82848 *
*    62619 *        0 *     62619 * 15.272306 * 1826.4638 *
*    63464 *        0 *     63464 * 15.588833 * 2114.9222 *
*    63765 *        0 *     63765 * 19.046798 * 1546.6394 *
*    64076 *        0 *     64076 * 14.825625 *   1401.39 *
*    64091 *        0 *     64091 * 22.320619 * 2134.9747 *
*    64122 *        0 *     64122 * 4.4595825 * 668.23564 *
*    64122 *        1 *     64122 * 3.4182683 * 668.23564 *
*    64136 *        0 *     64136 * 23.233075 * 1921.1907 *
*    64749 *        0 *     64749 * 9.5615313 * 1065.7051 *
*    64942 *        0 *     64942 * 13.815508 * 680.01801 *
*    65121 *        0 *     65121 * 23.174316 * 1407.9672 *
*    65274 *        0 *     65274 * 20.688209 * 1239.1451 *
*    65948 *        0 *     65948 * 27.586728 * 1495.5619 *
*    66032 *        0 *     66032 * 9.1432978 * 1890.5389 *
*    66096 *        0 *     66096 * 4.2999984 * 288.20747 *
*    66162 *        0 *     66162 * 9.0997061 * 1578.2642 *
*    66286 *        0 *     66286 * 6.0983266 * 1234.5289 *
*    66635 *        0 *     66635 * 33.346513 * 2046.1110 *
*    66661 *        0 *     66661 * 5.5547350 * 787.12874 *
*    67028 *        0 *     67028 * 14.582090 * 1865.2555 *
*    67211 *        0 *     67211 * 30.043151 * 2585.2030 *
*    67311 *        0 *     67311 * 9.3886246 * 1063.0518 *
*    67360 *        0 *     67360 * 20.980564 * 2087.9708 *
*    67419 *        0 *     67419 * 5.3881533 * 842.09654 *
*    67608 *        0 *     67608 * 8.8174624 * 1205.1531 *
*    67691 *        0 *     67691 * 15.820366 * 1775.2478 *
*    67927 *        0 *     67927 * 30.928170 * 2678.1762 *
*    68213 *        0 *     68213 * 19.647018 * 1764.3046 *
*    68328 *        0 *     68328 * 9.4952992 * 1262.1211 *
*    68343 *        0 *     68343 * 22.202493 * 1741.5033 *
*    68915 *        1 *     68915 * 8.2207636 * 1597.4985 *
*    69330 *        0 *     69330 * 15.049216 * 1549.3301 *
*    70431 *        0 *     70431 * 4.5770862 * 593.10343 *
*    70585 *        0 *     70585 * 24.364868 * 1563.3842 *
*    71162 *        0 *     71162 * 39.407941 * 2623.7896 *
*    71331 *        0 *     71331 * 32.387599 * 1610.4016 *
*    71600 *        0 *     71600 * 5.1477415 * 542.67767 *
*    71628 *        0 *     71628 * 16.211140 * 1589.7377 *
*    72988 *        0 *     72988 * 8.4424827 * 1205.1989 *
*    73188 *        0 *     73188 * 6.3738874 * 1842.8460 *
*    73294 *        0 *     73294 * 11.338020 * 1153.6552 *
*    73923 *        0 *     73923 * 9.0795806 * 1193.8801 *
*    73955 *        0 *     73955 * 5.1211880 * 638.74364 *
*    74228 *        0 *     74228 * 10.752483 * 1830.0265 *
*    74728 *        0 *     74728 * 8.3662226 * 1388.5501 *
*    75045 *        0 *     75045 * 10.899544 * 1161.8306 *
*    75338 *        0 *     75338 * 12.255655 * 1027.8309 *
*    75428 *        0 *     75428 * 12.780172 * 1499.8364 *
*    75521 *        0 *     75521 * 23.911559 * 1784.6037 *
*    75701 *        0 *     75701 * 14.091271 * 1254.5447 *
*    76400 *        0 *     76400 * 21.892031 * 1346.6078 *
*    76530 *        0 *     76530 * 8.2253186 * 507.62928 *
*    76710 *        0 *     76710 * 5.2414258 * 926.95630 *
*    77037 *        0 *     77037 * 18.025680 * 1983.5150 *
*    77072 *        0 *     77072 * 11.530194 * 1161.8443 *
*    77076 *        0 *     77076 * 26.228698 * 2060.8684 *
*    77682 *        0 *     77682 * 17.376655 * 1804.8323 *
*    77751 *        0 *     77751 * 15.589745 * 1369.2345 *
*    77926 *        0 *     77926 * 10.143865 * 1224.8162 *
*    78103 *        0 *     78103 * 11.351859 * 1426.8819 *
*    78603 *        1 *     78603 * 4.7133683 * 3765.6472 *
*    78992 *        0 *     78992 * 13.160972 * 1648.3706 *
*    79395 *        0 *     79395 * 17.106397 * 1094.2000 *
*    79476 *        0 *     79476 * 20.181273 * 2222.1448 *
*    79530 *        0 *     79530 * 8.5949570 * 1779.0514 *
*    80225 *        0 *     80225 * 5.7026130 * 1076.2293 *
*    80829 *        0 *     80829 * 10.416362 * 1529.7734 *
*    81393 *        0 *     81393 * 5.0105413 * 829.43135 *
*    81550 *        0 *     81550 * 8.4587592 * 1083.4645 *
*    81953 *        0 *     81953 * 34.577198 * 1569.9875 *
*    81956 *        0 *     81956 * 11.562511 * 874.13367 *
*    82121 *        0 *     82121 * 27.851303 * 2259.9975 *
*    82426 *        0 *     82426 * 16.666671 * 1942.4124 *
*    82626 *        0 *     82626 * 10.759425 * 1347.8196 *
*    82657 *        0 *     82657 * 2.9357525 * 403.83201 *
*    83044 *        0 *     83044 * 7.3034501 * 1005.1979 *
*    83170 *        0 *     83170 * 21.265735 * 1277.0015 *
*    83251 *        0 *     83251 * 14.778556 * 2244.4276 *
*    83996 *        0 *     83996 * 5.9323902 * 1635.9649 *
*    84072 *        0 *     84072 * 20.210466 * 1736.9645 *
*    84080 *        0 *     84080 * 27.219889 * 1439.3060 *
*    84564 *        0 *     84564 * 4.2395836 * 1226.2552 *
*    84565 *        0 *     84565 * 11.733657 * 1493.3534 *
*    85554 *        0 *     85554 * 8.9920398 * 2069.2042 *
*    85555 *        0 *     85555 * 20.925168 * 1713.4606 *
*    85624 *        0 *     85624 * 7.6290483 * 921.30085 *
*    85822 *        0 *     85822 * 7.2166839 * 885.46886 *
*    86964 *        0 *     86964 * 12.939286 * 1263.3718 *
*    87163 *        0 *     87163 * 27.086050 * 2418.8903 *
*    87544 *        0 *     87544 * 11.349116 * 1324.9017 *
*    87619 *        0 *     87619 * 13.843170 * 2409.9403 *
*    87782 *        0 *     87782 * 11.220861 * 869.41697 *
*    87947 *        0 *     87947 * 27.323657 * 2097.1362 *
*    87983 *        0 *     87983 * 13.272472 * 1914.9257 *
*    88642 *        0 *     88642 * 9.3675084 * 1179.0340 *
